"D_Ctrl1.8m.mm10.nodup.q30"	"D_Ctrl2.8m.mm10.nodup.q30"	"D_Ctrl3.8m.mm10.nodup.q30"	"D_Ctrl4.8m.mm10.nodup.q30"	"D_Ctrl5.8m.mm10.nodup.q30"	"D_Ctrl6.8m.mm10.nodup.q30"	"D_Ctrl7.8m.mm10.nodup.q30"	"D_Ctrl8.8m.mm10.nodup.q30"	"D_Ctrl9.8m.mm10.nodup.q30"	"D_Ctrl10.8m.mm10.nodup.q30"	"D_Ctrl11.8m.mm10.nodup.q30"	"D_Ctrl12.8m.mm10.nodup.q30"	"D_Ctrl13.8m.mm10.nodup.q30"	"D_Ctrl14.8m.mm10.nodup.q30"	"D_Ctrl15.8m.mm10.nodup.q30"	"D_tDEN1.8m.mm10.nodup.q30"	"D_tDEN2.8m.mm10.nodup.q30"	"D_tDEN3.8m.mm10.nodup.q30"	"D_tDEN4.8m.mm10.nodup.q30"	"D_tDEN5.8m.mm10.nodup.q30"	"D_tDEN6.8m.mm10.nodup.q30"	"D_tDEN7.8m.mm10.nodup.q30"	"D_tDEN8.8m.mm10.nodup.q30"	"D_tDEN9.8m.mm10.nodup.q30"	"one_wayAnova.pvalue"	"one_wayAnova.p_adj"	"avg_lg2FC"	"med_lg2FC"	"Significant.pvalue.avg_lg2FC"	"Significant.padj.avg_lg2FC"	"Significant.pvalue.med_lg2FC"	"Significant.padj.med_lg2FC"
"1:10620001-10630000"	1.39947063623714	0	0	0	2.90828335811918	20.1705462911516	9.20039312572104	7.34870270411683	0	18.9854683499298	1.460714556729	0	9.19690692691869	21.6706997042744	0	17.8428725418934	66.2818221077893	18.308535009475	29.3269150402204	14.665284316967	11.3282709178647	5.60905700042916	4.40824038252359	7.42393859393127	0.0260562831876521	0.0260562831877006	1.66088050625092	3.32765885222206	"upsig"	"upsig"	"upsig"	"upsig"
"1:10870001-10880000"	0	0	0	4.24507557083531	4.36242503717877	0	1.41544509626477	0	0	1.72595166817544	13.146431010561	0	1.53281782115312	2.88942662723659	0	0	12.2997195663939	0	11.7307660160882	11.7322274535736	0	0	7.34706730420598	29.6957543757251	0.0367236623473782	0.0367236623474255	2.04924805388386	Inf	"upsig"	"upsig"	"upsig"	"upsig"
"1:10930001-10940000"	2.79894127247427	36.2389919706241	0	275.222399509156	15.9955584696555	11.5260264520866	84.2189832277541	215.316989230623	0	24.1633233544561	0	9.362298725206	7.66408910576558	2.88942662723659	2.93042289592156	498.113525127857	0	37.3212444423914	180.360527497355	56.4613446203228	38.7049256360376	220.856619391898	412.905182496376	92.0568385647478	0.0287134158784474	0.0287134158784875	1.8957094862956	3.29759019474869	"upsig"	"upsig"	"upsig"	"upsig"
"1:10940001-10950000"	0	1.39380738348554	0	43.8657808986316	24.720408544013	0	7.78494802945626	79.3659892044618	5.59864647122912	1.72595166817544	21.9107183509351	29.6472792964857	9.19690692691869	0	0	127.13046686099	85.4147192110686	8.45009308129616	55.7211385764188	32.9968897131756	46.2571062479473	40.6656632531114	69.7971393899568	38.6044806884426	0.00176890772642673	0.00176890772641303	1.90208298488864	3.04652502819637	"upsig"	"upsig"	"upsig"	"upsig"
"1:10950001-10960000"	0	0	0	7.07512595139219	2.90828335811918	1.44075330651083	4.24633528879432	1.46974054082337	2.79932323561456	6.90380667270174	2.19107183509351	0	3.83204455288279	5.77885325447318	0	24.5339497451034	4.0999065221313	0	16.1298032721212	38.8630034399624	7.55218061190977	15.4249067511802	0	22.2718157817938	0.00222065952129934	0.00222065952128814	2.47457806986437	2.81555307831565	"upsig"	"upsig"	"upsig"	"upsig"
"1:10960001-10970000"	9.79629445365996	12.5442664513699	0	6.36761335625297	18.9038418277747	0	7.78494802945626	0	1.39966161780728	17.2595166817544	26.2928620211221	0	0	11.5577065089464	0	81.0363794610992	40.999065221313	0	30.0600879162259	57.1946088361711	0	23.8384922518239	4.40824038252359	2.96957543757251	0.0222699383177869	0.0222699383178225	1.84074462042938	1.90446834773292	"upsig"	"upsig"	"upsig"	"upsig"
"1:10990001-11000000"	0	5.57522953394217	0	7.07512595139219	7.27070839529795	0	0	8.8184432449402	1.39966161780728	3.45190333635087	10.225001897103	4.681149362603	7.66408910576558	1.44471331361829	0	26.7643088128401	45.7822894971328	0	33.7259522962535	23.4644549071471	9.44022576488721	0	0	65.3306596265952	0.00447703852097793	0.0044770385209798	2.56483046977332	2.76501297570967	"upsig"	"upsig"	"upsig"	"upsig"
"1:11070001-11080000"	6.29761786306712	0	0	1.41502519027844	4.36242503717877	0	1.41544509626477	7.34870270411683	0	6.90380667270174	7.30357278364502	1.56038312086767	0	30.3389795859842	19.7803545474705	26.0208557902612	43.7323362360671	0	4.39903725603306	2.93305686339339	13.2163160708421	16.1260388762338	15.4288413388326	25.2413912193663	0.0296828249620272	0.0296828249620702	1.49920031031068	3.30565752116256	"upsig"	"upsig"	"upsig"	"upsig"
"1:11210001-11220000"	0	0	0	12.7352267125059	17.4497001487151	1.44075330651083	16.2776186070449	1.46974054082337	8.39796970684367	10.3557100090526	0	3.12076624173533	0	5.77885325447318	0	0.743453022578891	62.181915585658	9.85844192817886	23.4615320321763	21.9979264754504	0	8.41358550064374	19.1023749909356	10.3935140315038	0.0292324229352933	0.0292324229353349	1.75649975848616	2.82205011182212	"upsig"	"upsig"	"upsig"	"upsig"
"1:11360001-11370000"	4.19841190871141	1.39380738348554	0	5.66010076111375	11.6331334324767	2.88150661302166	14.1544509626477	0	0	8.62975834087718	17.5285746807481	7.80191560433833	13.795360390378	14.4471331361829	0	66.9107720321002	15.0329905811481	0	9.53124738807163	8.79917059018017	7.55218061190977	0	36.0006297906093	34.1501175320838	0.0409600054689748	0.0409600054690207	1.53833317140113	0.751837300953492	"upsig"	"upsig"	"nosig"	"nosig"
